====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:17:48 CET 2026
 Modo:         SEQUENTIAL
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
====================================================================

[19:17:54.538] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-011
[19:17:54.589] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-012
[19:17:54.640] [TORRE       ] Secuencial: Procesando BOARDED de IBE-017
[19:17:54.691] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-008
[19:17:54.691] [TORRE       ] IBE-008 FIN DE OPERACIÓN.
[19:17:54.741] [TORRE       ] Secuencial: Procesando BOARDED de IBE-018
[19:17:54.792] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-013
[19:17:54.843] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-009
[19:17:54.843] [TORRE       ] IBE-009 FIN DE OPERACIÓN.
[19:17:54.895] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-014
[19:17:54.946] [TORRE       ] Secuencial: Procesando BOARDED de IBE-019
[19:17:54.997] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-015
[19:17:55.049] [TORRE       ] Secuencial: Procesando BOARDED de IBE-020
[19:17:55.099] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-010
[19:17:55.099] [TORRE       ] IBE-010 FIN DE OPERACIÓN.
[19:17:55.152] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-016
[19:17:55.202] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-011
[19:17:55.202] [TORRE       ] IBE-011 FIN DE OPERACIÓN.
[19:17:55.253] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-017
[19:17:55.304] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-012
[19:17:55.304] [TORRE       ] IBE-012 FIN DE OPERACIÓN.
[19:17:55.355] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-018
[19:17:55.406] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-013
[19:17:55.406] [TORRE       ] IBE-013 FIN DE OPERACIÓN.
[19:17:55.457] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-019
[19:17:55.509] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-014
[19:17:55.509] [TORRE       ] IBE-014 FIN DE OPERACIÓN.
[19:17:55.560] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-020
[19:17:55.610] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-015
[19:17:55.610] [TORRE       ] IBE-015 FIN DE OPERACIÓN.
[19:17:55.661] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-016
[19:17:55.661] [TORRE       ] IBE-016 FIN DE OPERACIÓN.
[19:17:55.713] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-017
[19:17:55.713] [TORRE       ] IBE-017 FIN DE OPERACIÓN.
[19:17:55.764] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-018
[19:17:55.764] [TORRE       ] IBE-018 FIN DE OPERACIÓN.
[19:17:55.815] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-019
[19:17:55.815] [TORRE       ] IBE-019 FIN DE OPERACIÓN.
[19:17:55.866] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-020
[19:17:55.866] [TORRE       ] IBE-020 FIN DE OPERACIÓN.

====================================================================
   FIN DE LA SIMULACIÓN
====================================================================
