====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:18:45 CET 2026
 Modo:         CONCURRENT
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
 Operarios:    5
====================================================================

[19:18:47.809] [IBE-007     ] IBE-007: En puerta Puerta G2. Subiendo Pasajero PAX-IBE-007
[19:18:47.809] [TORRE       ] Recibida petición: BOARDING [IBE-007]
[19:18:47.813] [TORRE       ] Recibida petición: LANDED [IBE-008]
[19:18:47.825] [IBE-002     ] IBE-002: DEPARTED. Vuelo finalizado.
[19:18:47.835] [IBE-018     ] IBE-018: Solicitando pista y puerta...
[19:18:47.919] [TORRE       ] ESPERA ATERRIZAJE: IBE-013
[19:18:47.938] [IBE-019     ] IBE-019: Solicitando pista y puerta...
[19:18:47.938] [TORRE       ] Recibida petición: LANDING [IBE-019]
[19:18:48.024] [TORRE       ] ESPERA ATERRIZAJE: IBE-014
[19:18:48.026] [TORRE       ] Recibida petición: DEPARTED [IBE-002]
[19:18:48.035] [TORRE       ] Recibida petición: LANDING [IBE-016]
[19:18:48.041] [IBE-020     ] IBE-020: Solicitando pista y puerta...
[19:18:48.051] [TORRE       ] Puerta liberada por IBE-004
[19:18:48.051] [TORRE       ] RESUMING ATERRIZAJE: IBE-009
[19:18:48.053] [IBE-004     ] IBE-004: Solicitando pista para despegue...
[19:18:48.053] [TORRE       ] Recibida petición: TAKEOFF [IBE-004]
[19:18:48.053] [IBE-009     ] IBE-009: Aterrizando en Pista P2...
[19:18:48.109] [TORRE       ] ESPERA DESPEGUE: IBE-003
[19:18:48.155] [IBE-009     ] IBE-009: Aterrizado. Liberando pista y yendo a Puerta G4
[19:18:48.156] [TORRE       ] Recibida petición: LANDED [IBE-009]
[19:18:48.219] [TORRE       ] Puerta liberada por IBE-005
[19:18:48.220] [IBE-005     ] IBE-005: Solicitando pista para despegue...
[19:18:48.220] [TORRE       ] Recibida petición: TAKEOFF [IBE-005]
[19:18:48.320] [TORRE       ] ESPERA ATERRIZAJE: IBE-015
[19:18:48.320] [IBE-006     ] IBE-006: Embarque finalizado. Solicitando salida.
[19:18:48.320] [TORRE       ] Recibida petición: BOARDED [IBE-006]
[19:18:48.325] [TORRE       ] ESPERA ATERRIZAJE: IBE-017
[19:18:48.410] [TORRE       ] Pista liberada por IBE-008
[19:18:48.410] [TORRE       ] RESUMING ATERRIZAJE: IBE-010
[19:18:48.411] [IBE-008     ] IBE-008: En puerta Puerta G3. Subiendo Pasajero PAX-IBE-008
[19:18:48.411] [TORRE       ] Recibida petición: BOARDING [IBE-008]
[19:18:48.412] [IBE-010     ] IBE-010: Aterrizando en Pista P3...
[19:18:48.438] [TORRE       ] Recibida petición: LANDING [IBE-018]
[19:18:48.445] [TORRE       ] Recibida petición: LANDING [IBE-020]
[19:18:48.512] [IBE-010     ] IBE-010: Aterrizado. Liberando pista y yendo a Puerta G5
[19:18:48.520] [TORRE       ] ESPERA ATERRIZAJE: IBE-019
[19:18:48.621] [TORRE       ] IBE-002 DEPARTED.
[19:18:48.621] [TORRE       ] RESUMING DESPEGUE: IBE-003
[19:18:48.622] [IBE-003     ] IBE-003: Despegando por Pista P1...
[19:18:48.626] [TORRE       ] ESPERA ATERRIZAJE: IBE-016
[19:18:48.652] [TORRE       ] ESPERA DESPEGUE: IBE-004
[19:18:48.652] [IBE-007     ] IBE-007: Embarque finalizado. Solicitando salida.
[19:18:48.653] [TORRE       ] Recibida petición: BOARDED [IBE-007]
[19:18:48.711] [TORRE       ] Pista liberada por IBE-009
